a/n,"not, without",ない、なし,Greek,abyss - without bottom; achromatic - without color; anhydrous - without water
a,on,に,Latin,afire - on fire; ashore - on the shore; aside - on the side
"a, ab/s","from, away, off",〜から、離れる、オフ,Latin,"abduct - carry away by force; abnormal - away from normal, not normal; absent - away, not present; aversion - the act of turning away from; abbreviate: to shorten."
a/c/d,"to, toward, near",〜へ、近く,Latin,"accelerate - to increase the speed of; accessible - easily entered, approached, or obtained; admittance - allowing into;"
acro,"top, height, tip, beginning",トップ、高さ、先端、初め,Greek,"acrobat - a ""high walker""; acronym - a word formed from the first (capital) letters of a word; acrophobia - fear of height"
act,do,行う,Latin,activity - something that a person does; react - to do something in response; interaction - communication between two or more things
aer/o,air,空気,Greek,aerate - to let air reach something; aerial - relating to the air; aerospace - the air space
agr/i/o,farming,耕作,LatinGreek,"agriculture - management of the land, agribusiness - making money by utilizing land; agrarian - relating to the management of land"
alg/o,pain,疼痛,Latin,neuralgia - pain caused by a nerve; analgesic - a drug that makes one pain free; nostalgia - aching for the familiar
"ambi, amphi","both, on both sides, around",両方とも、両側に、周り,Latin,ambidextrous - able to use both hands equally; ambiguous - having more than one meaning; ambivalence - conflicting or opposite feelings toward a person or thing
ambul,"walk, move",、歩く、動く,Latin,"amble - to walk in a slow, relaxed way; ambulant - walking or moving around; ambulance - a vehicle that moves a patient"
ami/o,love,愛,Latin,"amiable - friendly, pleasant, lovable; amity - friendly and peaceful relations; amorous - showing romantic love"
ana,"up, back, against, again, throughout",バック、再び、に対して、全体に、アップ,Greek,analysis - a close examination of something; anatomy - the structure of something as visible when cut up for analysis; anachronism - not being in the right place in time
andr/o,"man, male",男、男性,Greek,androgynous - being both male and female; android - resembling a human; misandry - hatred towards men
anim,"life, spirit",生活、精神,Latin,animal - a living organism; animate - to make alive; equanimity - of balanced spirit
"ann, enn",year,年,Latin,"anniversary - a date observed once a year; annual - happening once a year; millennium - 1,000 years"
ante,"before, in front",前に、前に,Latin,antecede - to come before something in time; antemeridian - before noon; anteroom- a small room before the main room
anth/o,flower,花,Greek,"chrysanthemum and amaranth - names of flowers; anthology - a collection of treasured writings; anthozoan - half plant, half animal, like anemones and corals."
anthrop/o,human,人間,Greek,anthropology - the study of mankind; anthropomorphism - giving human form to non-human things; philanthropy - the love to mankind (expressed through good deeds)
anti,"against, opposite of",の反対、反対,Greek,antibody - a substance that destroys micro-organisms; antiseptic - preventing infection; antisocial - opposing social norm
"apo, apho","away, off, separate",離れて、オフ、別々の,Greek,"aphorism - a short expression of a general truth; apology - an explicit expression of regret, apostrophe - a small dash used in place of an omitted letter"
aqu/a,water,水,Latin,aquarium - a water container for fish; aquatic- relating to water; aqueduct - a pipeline for water
arbor,tree,木,Latin,arborist - someone working with trees; arbor - a shady area formed by trees; arborous - having many trees
arch/i,"chief, most important, rule",チーフ、最も重要なのは、ルール,Greek,archbishop - the highest ranking bishop; archenemy - chief or worst enemy; matriarch - a female who rules a group; monarch - a king or queen
arch/a/i,"primitive, ancient",原始、古代,Greek,archaeology - the study of ancient cultures; archaic - belonging to an earlier period; archive - a collection of historical materials
arthr/o,joint,ジョイント,LatinGreek,"arthroscope - a tool to see inside a joint; arthritis - inflammation of a joint; arthropod - invertebrates with jointed legs, like spiders, crustaceans, insects"
art,skill,スキル,Latin,artifact - object made by a person's skill; artisan - a person skilled in a craft; artist - a person who creates skillfully
"astro, aster","star, stars, outer space",星、星、宇宙,Greek,astronaut - a person traveling to the stars; astronomer - someone who studies the stars; asterisk - a star-shaped sign used as a reference tool
aud/i/io,hear,聞く,Latin,audible - loud enough to be heard; audience - people who listen to a program; audiovisual - relating to sound and vision
auto,"self, same, one",自己、同じ、1,Greek,autocrat - a person who governs with absolute power; autograph - a person's own signature; automatic - moving by itself
avi/a,bird,鳥,Latin,aviary - a large enclosure for birds; aviatrix - a female airplane pilot; aviation - the art of designing or operating aircraft
bar/o,"pressure, weight",圧力、重量,Greek,"baric - pertaining to pressure, esp. of the atmosphere; milliard - metric unit, equal to 1/1000th of a bar; baryon - heavy elementary particle"
bell/i,war,戦争,Latin,"bellicose - warlike; belligerent - hostile, ready to fight; rebel - person who opposes and fights"
bene,"good, well",まあ、良いです,Latin,benefactor - person who gives money to a cause; beneficial - producing a good effect; benevolent - showing kindness or goodwill
bi/n,"two, twice, once in every two",2、二回、二回に一回,Latin,biannual - happening twice a year; binoculars - optical device with two lenses; bilateral - of or involving two sides
bibli/o,book,本,Greek,bibliography - a list of books used as sources; bibliomania - an extreme love of books; bibliophile - a person who loves books
bio,"life, living matter",人生、生活の問題,Greek,biography- a life story written by another person; biology - the science of life; biosphere - Earth's surface inhabited by living things
blast/o,"cell, primitive, immature cell",セル、原始的、未熟な細胞,Greek,blastula - an early stage of embryonic development; fibroblast - a cell that forms connective tissue; blastoderm - the layer surrounding the inside of an egg
burs,"pouch, purse",ポーチ、財布,Latin,bursar- an administrative officer in charge of funds; bursary- the treasury of a college or monastery; disburse- to expend especially from a public fund
calc,stone,石,Latin,calcite; calcium- the flame of acetylene gas generated by reaction of calcium carbide with water; calcification- impregnation with calcareous matter
cand,"glowing, iridescent",輝く、虹色,Latin,"candid- free from bias, prejudice, or malice; candle- something that gives light; incandescent- white, glowing, or luminous with intense heat"
"capt, cept, ceive","take, hold",取る、ホールド,Latin,intercept - to stop or interrupt; perceive - to take notice of something; captivating - taking hold of
cardi/o,heart,心臓,Greek,cardiac - relating to the heart; cardiogenic - resulting from heart disease; cardiologist - a heart doctor
carn/i,"flesh, meat",肉、肉,Latin,carnivorous - flesh-eating; carnal - pertaining to the body or flesh; incarnate - given bodily form
cata,"down, against completely, intensive, according to",ダウン、完全に集中に対して、に従って,Greek,"cataclysm - a flood or other disaster, catalog - a complete listing; catastrophe - turning for the worst, a substantial disaster"
"caust, caut",to burn,燃やす,LatinGreek,"cauterize - to burn with a hot instrument; caustic - capable of burning or eating away; holocaust - total devastation, especially by fire"
"cede, ceed, cess","go, yield",行く、収量,Latin,"exceed - to go beyond the limits; recede - to go back; accessible - easily entered, approached, or obtained;"
celer,fast,速いです,Latin,accelerate - to increase the speed of; decelerate - to reduce the speed of
cent/i,"hundred, hundredth",百、百,Latin,centennial- the 100th anniversary; centimeter - 1/100 of a meter; century - 100 years
centr/o/i,center,センター,Greek,"egocentric - self-centered; eccentric - not having a common center, not according to norm; centrifugal - moving outward from a center"
cephal/o,head,頭,Greek,encephalitis - inflammation of the brain; cephalic - pertaining to the head; cephalopod - marine mollusks like octopus and squid who have tentacles growing from their head
cerebr/o,brain,脳,Latin,cerebral - pertaining to the brain; cerebrate - to use the brain; cerebrospinal - pertaining to the brain and the spinal cord
cert,sure,確か,Latin,ascertain- to find out something with certainty; certain - being absolutely sure; certify - to state that something is true
"chrom/o, chromat/o, chros","color, pigment",色、顔料,Greek,"achromatic - without color; chromium - a blue-white metallic chemical element, chromatics - the study of color"
chron/o,time,時間,Greek,"chronic - lasting for a long time; chronological - arranging events in time order, synchronize - happening at the same time"
chrys/o,"gold, yellow",金、黄色,Greek,chrysanthemum and helichrysum - golden/yellow flowers; chrysolite - a yellowish gem
"cide, cise","cut, kill",カット、殺します,Latin,homicide - murder; incisor - a sharp tooth for cutting food; insecticide - a chemical used to kill insects
"circum, circle","around, about",周りには約,Latin,circumnavigate - to sail around; circumscribe - to draw around; circumspect - looking around
"claim, clam","shout, speak out",叫び、声,Latin,clamor - to shout and make noise; exclaim - to cry out loudly and suddenly; proclamation - something announced officially in public
clar,clear,明確な,Latin,clarification - an explanation; clarify - to make something clear; declare - to state something clearly
"clud, clus",close,閉じる,Latin,"conclusion - the end or last part; exclusion - shutting out, rejecting; seclude - to keep away from; to isolate"
cline,lean,リーン,Latin,inclination - a leaning toward; incline - a surface that slopes or leans; recline - to lean back and relax
co,"with, together, joint",、一緒に、共同で,Latin,coauthor - writer who collaborates with another author; coeducation - educating males and females together; cohousing - planning your neighborhood in an intentional neighborly fashion
col,"together, jointly",一緒に、共同で,Latin,Collaborate - to work together; collision - smashing together; colloquial - words formed by everday interaction
com,"together, common",一緒に、共通,Latin,commemorate - to memorize together; composition - an arrangement or putting together of parts; commune - living together while owning things in common
cogn/i,know,知っています,Latin,cognition - process of acquiring knowledge; incognito - disguised so no one knows you; recognize - to discover that one knows
con,"with, jointly",共同で、と,Latin,concur - to agree with someone; contemporary - of the same time period as others; convention - a gathering of people with a common interest
contra/o,"against, opposite",反対、反対,Latin,"contradict to argue against, Contraflow, contraception, contrary not in agreement, controversy disagreement"
corp/o,body,体,Latin,corporation - a company recognized by law as a single body; corpse - a dead body; corporal - pertaining to the body
cosm/o,universe,宇宙,Greek,cosmonaut - a Russian astronaut; cosmos - the universe; microcosm - a miniature universe
counter,"opposite, contrary, opposing",反対、反対、反対の,,counteract - to oppose the effects of an action; countermand - to cancel a previous order; counteroffensive - attack against an attack
cranio,skull,頭蓋骨,Greek,craniology - the study of skull characteristics; cranium - skull of vertebrates; cranial - pertaining to the skull
cre/a,glow,成長する,Latin,"create -;increase"
cred,believe,信じます,Latin,"credence - belief that something is true or valid; credulous - believing things too easily, gullible; incredible - unbelievable"
cruc,cross,クロス,Latin,crucial-characteristic of or having the form of a cross ; crucifix- the cross itself as a Christian emblem; excruciating- so intense as to cause great pain or anguish
crypto,"hidden, secret",隠された秘密,Greek,cryptic - of hidden meaning; cryptography - science of secret codes; encrypt - encode into secret code
cumul,"mass, heap",質量、ヒープ,Latin,accumulate - to gather or pile up; cumulative - gradually building up
"curr, curs",run,ラン,Latin,"concurrent- running parallel; current- flowing easily and smoothly; cursive- having a flowing, easy, impromptu character"
cycl,"circle, ring",サークル、リング,Greek,bicycle - a vehicle with two wheels; cycle - a sequence that is repeated; cyclone - a storm with circling winds
de,"reduce, away, down, remove",ダウン、離れて、削減、削除,Latin,"decelerate - to slow down, reduce speed; dethrone - to remove from power; debug - to remove bugs"
"dec/a, deka",ten,十,Greek,decade - 10 years; decathlon - athletic contest that includes 10 disciplines in which each participant competes; December - formerly the 10th month of the Roman calendar
deci,one tenth,十分の一,Latin,deciliter - a tenth of a liter; decimate - reduce dramatically; decibel - one tenth of the sound volume unit bel
dem/o,people,人,Greek,democracy - government of the people; demographic - the study of people; epidemic - spreading among people in a region
demi,"half, less than",半分未満,Latin,demitasse - a small cup of coffee; demimonde - someone of little respected life style
dendr/o/i,tree,木,Greek,philodendron - a climbing plant that grows on trees; dendrochronology - dating events by studying growth rings in trees; dendriform - in the shape of a tree
"dent, dont",tooth,歯,Latin,dental - relating to teeth; dentist - a doctor for the teeth; dentures - a set of false teeth
derm/a,skin,肌,Greek,"dermatologist - a doctor for the skin; pachyderm - a class of animals with very thick skin (elephant, rhinoceros); dermatitis - inflammation of the skin"
di/plo,"two, twice",2、二回,Greek,"dichromatic - displaying two colors; diploma - a certificate, literally ""a letter folded double""; dilemma - a situation that requires a choice between two alternatives."
di/s,"apart, away, not, to the opposite",離れて、離れて、ではない、反対に,Latin,"digression - a departure from the main issue, subject; disappear - to move out of sight; dissect - to cut apart piece by piece."
dia,"through, between, apart, across",間、離れて、横切って、スルー,Greek,diabetes - disease characterized by excessive thirst and discharge of urine; diagnosis - understanding a condition by going through a detailed review of symptoms; dialog - conversation between two people.
dict,speak,話します,Latin,contradict - to express the opposite of; prediction - a statement foretelling the future; dictate - to speak out loud for another person to write down.
domin,master,マスター,Latin,dominate - to be the master of; domineering - excessively controlling; predominate - to have more power than others
don/at,give,与える,Latin,donation - a contribution or gift; donor - someone who gives something; pardon - to give forgiveness for an offense
duc/t,lead,鉛,Latin,conduct - to lead musicians in playing music; educate - to lead to knowledge; deduction - a subtraction of an amount.
du/o,"two, twice",2、二回,Latin,duplicate - make an identical copy; duet - a musical composition for two voices or instruments; duo - a pair normally thought of as being together.
dur,"harden, to last, lasting",硬く、長持ちし、持続,Latin,durable - having the quality of lasting; duration - the length of time something lasts; enduring - able to last.
dyn/a/am,"power, energy, strength",パワー、エネルギー、強度,Greek,dynamo - a generator of energy; dynamic - having physical energy/power; dynamite - a powerful explosive.
dys,"abnormal, bad",悪い、異常,Greek,dyspepsia - abnormal digestion; dystopia - an imaginary place of total misery; dyslexia - impairment of the ability to handle words.
e,"out, away",アウト、離れて,Latin,eloquent - speaking beautifully and forcefully; emissary - a representative of a country or group sent on a mission; eject - throw out forcefully.
ego,self,自己,LatinGreek,egoistic - self-centered; alter ego - a higher aspect of oneself; egomania - excessive preoccupation with oneself.
"em, en","into, cover with, cause",〜の中へ、覆う、原因,,empathy - intention to feel like another person; empower - put into power; engorge - make larger.
endo,"within, inside",内部に、内,Greek,"endotherm - a creature that can keep its inside temperature fairly constant; endocrine - relating to glands that secrete directly into the blood or lymph; endogamy - the custom to marry within one's clan, tribe etc."
"enn/i, anni",years,年,Latin,bicentennial - of or relating to an age or period of 200 years; centennial - of or relating to an age or period of 100 years; perennial -lasting through many years.
"en, in","inside, inwards",内部に、内側に,Latin,envision - to picture in the mind; enclose - lock inside; inwards - towards the inside.
ep/i,"on, upon, over, among, at, after, to, outside",際に、オーバー、内側の、後に、外側に、上,Greek,epidemic - the rapid spread of something negative; epilogue - a short speech delivered after a play; epicenter - the center of an earthquake.
equ/i,"equal, equally",等しい、等しく,Latin,"equidistant - an equal distance from two points; equanimity - calm temperament, evenness of temper; equation - a statement of equality."
erg/o,work,作業,Greek,ergonomics - study of the working environment; energy - the power to accomplish work; energetics - science that looks at energy and its transformation.
"esth, aesth","feeling, sensation, beauty",感情、感覚、美しさ,Latin,esthetician - someone who beautifies; aesthetic - pertaining to a sense of beauty; kinesthesia - the sensation of bodily movement.
ethno,"race, people",レース、人々,Greek,ethnic - pertaining to a defined group of people; ethnocentric - focusing on the ethnicity of people; ethnology - the science of people and races.
eu,"good, well",まあ、良いです,Greek,euphemism - replacing an offensive word with an inoffensive one; euphonious - having a pleasant sound; euphoria - feeling of well-being.
ex,"from, out,",アウト、から、,Latin,excavate - to dig out; exhale - to breathe out; extract - to pull out.
"extra, extro","outside, beyond",外に、超えて,Latin,extraordinary - beyond ordinary; extraterrestrial - outside the Earth; extrovert - an outgoing person.
fac/t,"make, do",作る、やる,Latin,artifact - an object made by a person; factory - a place where things are made; malefact - a person who does wrong.
fer,"bear, bring, carry",クマ、持参、キャリー,Latin,confer - to bring an honor to someone; ferry - a boat that carries passengers; transfer - to move to another place.
fid,faith,信仰,Latin,"confide - place trust in someone, fidelity - faithfulness; fiduciary - a trustee;"
flect,bend,曲がり,Latin,deflect - to bend course because of hitting something; inflection - a bending in the voice's tone or pitch; flexible - easily bending.
"flor/a, fleur",flower,花,Latin,florist - someone working with flowers; floral - flowerlike; flora - the plant life of a particular time or area
for,completely (used to intensify the meaning of a word),完全に（単語の意味を強化するために使用される）,,forsaken or forfeited - completely lost; forgiven - completely given (a release of debt).
fore,"in front of, previous, earlier",以前、目の前で、それ以前,,forebear - ancestor; forebode - to give an advance warning of something bad; forecast - a preview of events to be.
form,shape,形状,Latin,"conformity- correspondence in form, manner, or character; formation- something that is formed; reformatory- intended for reformation"
"fract, frag",break,ブレーク,Latin,fracture - a break; fragile - easy to break; fragment or fraction - a part or element of a larger whole;
fug,"flee, run away, escape",逃げる、逃げる、逃げます,Latin,fugitive - a person who is running away; refuge - a sheltered place to flee to; refugee - a person seeking protection
funct,"perform, work",、作業を行います,Latin,defunct - no longer working or alive; function - to work or perform a role normally; malfunction - to fail to work correctly.
fus,pour,注ぎます,Latin,confusion - being flooded with too much information that is hard to make sense of; fuse - to melt by heating; infuse - to put into.
gastr/o,stomach,胃,Greek,gastric - pertaining to the stomach; gastronomy - serving the stomach by providing good food; gastritis - inflammation of the stomach.
"gen/o/e, genesis","birth, production, formation, kind",出産、生産、形成、種類,Greek,genealogy - the study of the history of a family; generation - all the people born at approximately the same time; genetic -relating to heredity encoded in the genes.
geo,"earth, soil, global",土、土壌、グローバル,Greek,geography - study of the earth's surface; geology - study of the structure of the earth; geoponics - soil based agriculture.
ger,old age,老齢,Greek,geriatrics - medicine pertaining to the elderly; gerontocracy - the rule of the elders; gerontology - the science of aging.
giga,a billion,10億,Greek,gigabyte - unit of computer storage space; gigahertz - unit of frequency (one billion Hz/sec); gigawatt unit of electric power (one billion watts).
gon,angle,角度,LatinGreek,decagon - a polygon with 10 angles; diagonal - a slanting line running across a space; octagon - a geometrical figure with 8 angles.
gram,"letter, written",手紙、書かれた,Greek,diagram - a simple drawing; grammar - rules of how to write words in sentences; telegram - a message sent by telegraph.
gran,grain,粒,Latin,granary- a storehouse or repository for grain especially after it is threshed or husked; granola- a mixture of rolled oats and other ingredients; granule- a little grain (as of sugar)
graph/y,"writing, recording, written",書き込み、記録は、書かれた,Greek,Graphology - the study of handwritings; autograph - written with one's own hand; seismograph - a machine noting strength and duration of earthquakes.
grat,pleasing,快適,Latin,"gratify - to please someone; grateful - feeling thankful; gratuity - a tip, token of appreciation."
gyn/o/e,"woman, female",女性、女性,Greek,gynecology - the science of female reproductive health; gynephobia - fear of women; gynecoid - resembling a woman.
"gress, grad/e/i","to step, to go",、ステップする、行く,Latin,"digression - a departure from the main issue, subject, etc.; progress - movement forward or onward; gradual - step by step."
"hect/o, hecat",hundred,百,Greek,"hectoliter - 100 liters; hectare - metric unit equaling 100 ares or 10,000 square meters; hectometer - 100 meters."
helic/o,"spiral, circular",スパイラル、円形,Greek,helicopter - an aircraft with horizontal rotating wing; helix - a spiral form; helicon - a circular tuba.
heli/o,sun,太陽,Greek,heliotropism - movement or growth in relating to the sun; heliograph - apparatus used to send message with the help of sunlight; helianthus - genus of plants including sunflowers.
hemi,"half, partial",半分、部分的,Greek,hemicycle - a semicircular structure; hemisphere - one half of the earth; hemistich - half a line of poetry.
hem/o/a,blood,血液,LatinGreek,hemorrhage - clotting of the blood; hemorrhoids - swelling of the blood vessels; hemoglobin - red blood particle.
hepa,liver,肝,Latin,hepatitis - inflammation of the liver; hepatoma - a tumor of the liver; hepatotoxic - toxic and damaging to the liver.
hept/a,seven,セブン,Greek,heptagon - a shape with seven angles and seven sides; Heptateuch - the first seven books of the Old Testament; heptameter - a line of verse consisting of seven metrical feet.
herbi,"grass, plant",草、植物,Latin,"herbicide - any chemical used to kill unwanted plants, etc.; herbivorous - plant-eating; herbal - relating to plants."
hetero,"different, other",その他、異なります,Greek,heterogeneous - made up of unrelated parts; heteronyms - words with same spelling but different meanings; heterodox - not conforming to traditional beliefs.
hex/a,six,六,Greek,hexagon - a shape with six angles/sides; hexameter - a verse measured in six; hexapod - having six legs.
histo,tissue,ティッシュ,Greek,histology - study of the microscopic structure of tissues; histochemistry - study of the chemical constitution of cells and tissues.
"homo, homeo","like, alike, same",以下のように、同様に、同じ,LatinGreek,"homogeneous - of the same nature or kind; homonym - sounding alike; homeopath - a therapy that is based on treating ""same with same"""
hydr/o,"liquid, water",液体、水,Greek,hydrate - to add water to; hydrophobia - intense fear of water; hydroponics - growing plants in liquid nutrient solution; hydraulic - operated by force created by a liquid.
hygr/o,"moisture, humidity",水分、湿度,Greek,hygrometer - tool used to measure humidity; hygrograph - instrument for recording variations in atmospheric humidity.
hyper,"too much, over, excessive, beyond",超えて、オーバー、過度の、あまりにも多くの,LatinGreek,hyperactive - very restless; hypercritical - too critical; hypertension - above normal pressure.
hyp/o,under,下,Greek,hypoglycemia - an abnormally low level of sugar in the blood; hypothermia - abnormally low body temperature; hypothesis - a theory that is unproven but used under the assumption that it is true.
iatr/o,medical care,医療,Greek,geriatrics - medical care of the elderly; pediatrician - a doctor who treats children; podiatry - medical care for feet.
icon/o,image,画像,LatinGreek,"icon - an (often religious) image, in modern usage a simplified graphic of high symbolic content; iconology - science of symbols and icons; iconoclast - someone who destroys religious images and traditional beliefs."
idio,"peculiar, personal, distinct",明確な、個人的な、独特,Greek,idiomatic - Peculiar to a particular language; idiosyncracy - a physical or mental characteristic typical or a particular person; idiot - someone who is distinctly foolish or stupid.
"il, in","in, into",中,Latin,"illuminate - to give light to; innovation - a new idea, method, or device; inspection - the act of examining or reviewing."
"ig, il, im, in, ir","not, without",ない、なし,Latin,illegal - not legal; impossible - not possible; inappropriate - not appropriate; irresponsible - not responsible.
imag,likeness,似顔絵,Latin,image - a likeness of someone; imaginative - able to think up new ideas or images; imagine - to form a picture or likeness in the mind.
infra,"beneath, below",下に、下記の,Latin,infrastructure - underlying framework of a system; infrared - below the regular light spectrum.
inter,"between, among, jointly",共同で、間、間,Latin,international - involving two or more countries; intersection - place where roads come together; intercept - to stop or interrupt the course of.
"intra, intro","within, inside",内部に、内,Latin,intrastate - existing in one state; intravenous - inside or into a vein; introvert - shy person who keeps within him/herself.
ir,not,ではない,Latin,irredeemable - not redeemable; irreformable - not reformable; irrational - not rational.
iso,equal,等しい,,isobar - a line on a map connecting points of equal barometric pressure; isometric - having equality of measure; isothermal - having equal or constant temperature.
ject,throw,スロー,Latin,eject - to throw someone/something out; interject - to throw a remark into a discussion; project - to cast or throw something.
jud,law,法律,Latin,judgment - a decision of a court of law; judicial - having to do with judges or courts of law; judiciary - a system of courts of law.
junct,join,加わる,Latin,conjunction - a word that joins parts of sentences; disjunction - a disconnection; junction - a place where two things join.
juven,young,若い,Latin,juvenile - youthful or childish; rejuvenate - to bring back to youthful strength or appearance.
kilo,thousand,千,Greek,"kilobyte - 1,000 bytes; kilometer - 1,000 meter; kilograms - 1,000 grams."
"kine/t, mat","motion, division",運動、分裂,Greek,kinetics - study of the force of motion; psychokinesis or telekinesis - the ability to move objects with your mind; cinematography - motion picture making.
lab,work,作業,Latin,collaborate - to work with a person; elaborate - to work out the details; laborious - requiring a lot of hard work.
lact/o,milk,ミルク,Latin,"lactate - to give milk, nurse; lactose - the sugar contained in milk; lactic acid."
later,side,側,Latin,bilateral - of or involving two sides; unilateral - affecting one side of something.
"leuk/o, leuc/o","white, colorless",無色、白,Greek,"leukemia - abnormal increase of white blood cells in the blood; leukocyte - a mature white blood cell; leucine - a white, crystalline amino acid."
lex,"word, law, reading",単語、法律、読書,Greek,lexicology - the study and history of words; alexia -loss of the ability to read; illegal - not authorized by the official rules or laws.
liber,free,自由な,Latin,"liberate - to set free; libertine - a person with a free, wild lifestyle; liberty - freedom."
lingu,"language, tongue",言語、舌,Latin,"linguist - one who studies languages; multilingual - able to communicate in multiple languages; linguine - long, flat ""tongue-shaped"" pasta."
lip/o,fat,脂肪,Greek,liposuction - the mechanical removal of fat reserves in the tissue; lipase - enzyme that breaks down fat; lipoid - resembling fat.
"lite, ite, lith/o","mineral, rock, fossil",ミネラル、岩、化石,Greek,"apatite - a group of common minerals; granite - a hard, granular rock; monolith - a remarkable, unique stone."
loc,place,場所,Latin,dislocate - to put something out of its usual place; location - a place; relocate - to move to a new place.
log/o,"word, doctrine, discourse",単語、教義、談話,Greek,"logic - correct reasoning; monologue - a long speech by one speaker;analogy - similarity, especially between things otherwise dissimilar."
"loqu, locu",speak,話す,Latin,eloquent - speaking beautifully and forcefully ; loquacious - very talkative; elocution - art of public speaking.
luc,light,光,Latin,"elucidate - to explain, to throw light on; lucid - easily understood, giving off light; translucent - allowing light through."
"lud, lus",to play,再生、演奏、行うこと,Latin,"prelude - introduction to the major performance; illusion - misleading optical image or impression; delude - to mislead, deceive."
lumin,light,光,Latin,illuminate - to fill with light; lumen - unit measuring light.
lun/a/i,moon,月,Latin,lunar - relating to the moon; lunarscape - the surface of the moon; lunatic - insane (as if driven mad by the moon).
macro,"large, great",大規模な、素晴らしいです,Greek,macroevolution - large scale evolution; macromolecule - a large molecule; macroeconomics - study of the overall forces of economy.
